date,sales
2012-10-01,122
2012-10-01,123
2012-10-02,107
2012-10-03,94
2012-10-04,182
2012-10-05,43
2012-10-06,111
2012-10-07,66
2012-10-08,68
2012-10-09,99
2012-10-10,120
2012-10-11,114
2012-10-12,109
2012-10-13,144
2012-10-14,77
2012-10-15,120
2012-10-16,109
2012-10-17,118
2012-10-18,120
2012-10-19,119
2012-10-20,99
2012-10-21,205
2012-10-22,218
2012-10-23,92
2012-10-24,123
2012-10-25,92
2012-10-26,120
2012-10-27,164
2012-10-28,114
2012-10-29,124
2012-10-30,123
2012-10-31,125
2012-11-01,88
2012-11-02,81
2012-11-03,78
2012-11-04,88
2012-11-05,120
2012-11-06,121
2012-11-07,113
2012-11-08,109
2012-11-09,106
2012-11-10,141
2012-11-11,121
2012-11-12,121
2012-11-13,113
2012-11-14,109
2012-11-15,115
2012-11-16,90
2012-11-17,147
2012-11-18,99
2012-11-19,133
2012-11-20,112
2012-11-21,127
2012-11-22,145
2012-11-23,176
2012-11-24,127
2012-11-25,101
2012-11-26,133
2012-11-27,77
2012-11-28,85
2012-11-29,82
2012-11-30,122
2012-12-01,131
2012-12-02,118
2012-12-03,88
2012-12-04,118
2012-12-05,107
2012-12-06,160
2012-12-07,153
2012-12-08,139
2012-12-09,160
2012-12-10,131
2012-12-11,130
2012-12-12,131
2012-12-13,114
2012-12-14,100
2012-12-15,194
2012-12-16,46
2012-12-17,118
2012-12-18,70
2012-12-19,72
2012-12-20,106
2012-12-21,128
2012-12-22,121
2012-12-23,116
2012-12-24,153
2012-12-25,82
2012-12-26,128
2012-12-27,116
2012-12-28,126
2012-12-29,128
2012-12-30,127
2012-12-31,106
2013-01-01,218
2013-01-02,232
2013-01-03,98
2013-01-04,131
2013-01-05,98
2013-01-06,128
2013-01-07,175
2013-01-08,121
2013-01-09,132
2013-01-10,131
2013-01-11,133
2013-01-12,94
2013-01-13,86
2013-01-14,83
2013-01-15,94
2013-01-16,128
2013-01-17,129
2013-01-18,120
2013-01-19,116
2013-01-20,113
2013-01-21,150
2013-01-22,129
2013-01-23,129
2013-01-24,120
2013-01-25,116
2013-01-26,123
2013-01-27,96
2013-01-28,157
2013-01-29,106
2013-01-30,142
2013-01-31,119
2013-02-01,135
2013-02-02,155
2013-02-03,188
2013-02-04,135
2013-02-05,108
2013-02-06,142
2013-02-07,82
2013-02-08,91
2013-02-09,87
2013-02-10,130
2013-02-11,140
2013-02-12,126
2013-02-13,94
2013-02-14,126
2013-02-15,114
2013-02-16,171
2013-02-17,163
2013-02-18,148
2013-02-19,171
2013-02-20,140
2013-02-21,90
2013-02-22,174
2013-02-23,120
2013-02-24,118
2013-02-25,66
2013-02-26,187
2013-02-27,51
2013-02-28,58
2013-03-01,177
2013-03-02,142
2013-03-03,113
2013-03-04,144
2013-03-05,159
2013-03-06,92
2013-03-07,88
2013-03-08,124
2013-03-09,92
2013-03-10,70
2013-03-11,78
2013-03-12,80
2013-03-13,123
2013-03-14,43
2013-03-15,122
2013-03-16,56
2013-03-17,106
2013-03-18,74
2013-03-19,106
2013-03-20,78
2013-03-21,150
2013-03-22,120
2013-03-23,120
2013-03-24,99
2013-03-25,101
2013-03-26,99
2013-03-27,99
2013-03-28,99
2013-03-29,103
2013-03-30,116
2013-03-31,82
2013-04-01,85
2013-04-02,43
2013-04-03,106
2013-04-04,69
2013-04-05,58
2013-04-06,107
2013-04-07,103
2013-04-08,106
2013-04-09,82
2013-04-10,118
2013-04-11,131
2013-04-12,96
2013-04-13,185
2013-04-14,128
2013-04-15,126
2013-04-16,70
2013-04-17,199
2013-04-18,54
2013-04-19,62
2013-04-20,189
2013-04-21,151
2013-04-22,120
2013-04-23,153
2013-04-24,169
2013-04-25,98
2013-04-26,94
2013-04-27,132
2013-04-28,98
2013-04-29,75
2013-04-30,83
2013-05-01,85
2013-05-02,131
2013-05-03,46
2013-05-04,130
2013-05-05,60
2013-05-06,113
2013-05-07,79
2013-05-08,113
2013-05-09,83
2013-05-10,160
2013-05-11,128
2013-05-12,128
2013-05-13,106
2013-05-14,108
2013-05-15,106
2013-05-16,106
2013-05-17,106
2013-05-18,110
2013-05-19,124
2013-05-20,87
2013-05-21,91
2013-05-22,46
2013-05-23,113
2013-05-24,74
2013-05-25,62
2013-05-26,114
2013-05-27,110
2013-05-28,113
2013-05-29,87
2013-05-30,126
2013-05-31,140
2013-06-01,90
2013-06-02,90
2013-06-03,109
2013-06-04,113
2013-06-05,68
2013-06-06,109
2013-06-07,79
2013-06-08,68
2013-06-09,92
2013-06-10,60
2013-06-11,43
2013-06-12,109
2013-06-13,144
2013-06-14,80
2013-06-15,121
2013-06-16,52
2013-06-17,82
2013-06-18,64
2013-06-19,64
2013-06-20,76
2013-06-21,80
2013-06-22,43
2013-06-23,81
2013-06-24,122
2013-06-25,122
2013-06-26,82
2013-06-27,76
2013-06-28,74
2013-06-29,43
2013-06-30,106
2013-07-01,73
2013-07-02,82
2013-07-03,103
2013-07-04,75
2013-07-05,73
2013-07-06,56
2013-07-07,43
2013-07-08,77
2013-07-09,85
2013-07-10,88
2013-07-11,69
2013-07-12,89
2013-07-13,88
2013-07-14,43
2013-07-15,107
2013-07-16,89
2013-07-17,106
2013-07-18,96
2013-07-19,96
2013-07-20,116
2013-07-21,120
2013-07-22,72
2013-07-23,116
2013-07-24,84
2013-07-25,72
2013-07-26,98
2013-07-27,64
2013-07-28,46
2013-07-29,116
2013-07-30,153
2013-07-31,85
2013-08-01,129
2013-08-02,55
2013-08-03,87
2013-08-04,68
2013-08-05,68
2013-08-06,81
2013-08-07,85
2013-08-08,46
2013-08-09,86
2013-08-10,130
2013-08-11,130
2013-08-12,87
2013-08-13,81
2013-08-14,79
2013-08-15,46
2013-08-16,113
2013-08-17,78
2013-08-18,87
2013-08-19,110
2013-08-20,80
2013-08-21,78
2013-08-22,60
2013-08-23,46
2013-08-24,82
2013-08-25,91
2013-08-26,94
2013-08-27,74
2013-08-28,95
2013-08-29,94
2013-08-30,46
2013-08-31,114
2013-09-01,95
2013-09-02,113
2013-09-03,122
2013-09-04,123
2013-09-05,107
2013-09-06,116
2013-09-07,182
2013-09-08,118
2013-09-09,159
2013-09-10,123
2013-09-11,126
2013-09-12,126
2013-09-13,114
2013-09-14,125
2013-09-15,114
2013-09-16,125
2013-09-17,138
2013-09-18,138
2013-09-19,123
2013-09-20,124
2013-09-21,132
2013-09-22,109
2013-09-23,147
2013-09-24,124
2013-09-25,184
2013-09-26,147
2013-09-27,141
2013-09-28,112
2013-09-29,127
2013-09-30,168
2013-10-01,133
2013-10-02,139
2013-10-03,114
2013-10-04,123
2013-10-05,127
2013-10-06,131
2013-10-07,118
2013-10-08,98
2013-10-09,127
2013-10-10,145
2013-10-11,127
2013-10-12,122
2013-10-13,120
2013-10-14,123
2013-10-15,130
2013-10-16,131
2013-10-17,114
2013-10-18,124
2013-10-19,194
2013-10-20,126
2013-10-21,169
2013-10-22,131
2013-10-23,134
2013-10-24,134
2013-10-25,121
2013-10-26,133
2013-10-27,121
2013-10-28,133
2013-10-29,147
2013-10-30,147
2013-10-31,131
2013-11-01,132
2013-11-02,141
2013-11-03,116
2013-11-04,157
2013-11-05,132
2013-11-06,196
2013-11-07,157
2013-11-08,150
2013-11-09,119
2013-11-10,135
2013-11-11,179
2013-11-12,142
2013-11-13,148
2013-11-14,121
2013-11-15,131
2013-11-16,135
2013-11-17,140
2013-11-18,126
2013-11-19,104
2013-11-20,135
2013-11-21,155
2013-11-22,135
2013-11-23,130
2013-11-24,128
2013-11-25,131
2013-11-26,53
2013-11-27,66
2013-11-28,126
2013-11-29,120
2013-11-30,53
2013-12-01,92
2013-12-02,58
2013-12-03,52
2013-12-04,56
2013-12-05,53
2013-12-06,43
2013-12-07,77
2013-12-08,52
2013-12-09,61
2013-12-10,77
2013-12-11,52
2013-12-12,92
2013-12-13,113
2013-12-14,56
2013-12-15,76
2013-12-16,52
2013-12-17,74
2013-12-18,64
2013-12-19,63
2013-12-20,39
2013-12-21,80
2013-12-22,82
2013-12-23,76
2013-12-24,56
2013-12-25,89
2013-12-26,58
2013-12-27,41
2013-12-28,69
2013-12-29,45
2013-12-30,73
2013-12-31,56
2014-01-01,60
2014-01-02,41
2014-01-03,73
2014-01-04,56
2014-01-05,70
2014-01-06,134
2014-01-07,128
2014-01-08,56
2014-01-09,98
2014-01-10,62
2014-01-11,55
2014-01-12,60
2014-01-13,56
2014-01-14,46
2014-01-15,82
2014-01-16,55
2014-01-17,65
2014-01-18,82
2014-01-19,55
2014-01-20,98
2014-01-21,120
2014-01-22,60
2014-01-23,81
2014-01-24,55
2014-01-25,79
2014-01-26,68
2014-01-27,67
2014-01-28,42
2014-01-29,85
2014-01-30,87
2014-01-31,81
2014-02-01,60
2014-02-02,95
2014-02-03,62
2014-02-04,44
2014-02-05,74
2014-02-06,48
2014-02-07,78
2014-02-08,60
2014-02-09,64
2014-02-10,44
2014-02-11,78
2014-02-12,187
2014-02-13,123
2014-02-14,187
2014-02-15,182
2014-02-16,142
2014-02-17,79
2014-02-18,205
2014-02-19,126
2014-02-20,218
2014-02-21,159
2014-02-22,124
2014-02-23,138
2014-02-24,189
2014-02-25,150
2014-02-26,114
2014-02-27,164
2014-02-28,147
2014-03-01,115
2014-03-02,125
2014-03-03,124
2014-03-04,138
2014-03-05,141
2014-03-06,132
2014-03-07,103
2014-03-08,168
2014-03-09,133
2014-03-10,168
2014-03-11,101
2014-03-12,145
2014-03-13,112
2014-03-14,114
2014-03-15,145
2014-03-16,153
2014-03-17,199
2014-03-18,131
2014-03-19,199
2014-03-20,194
2014-03-21,151
2014-03-22,84
2014-03-23,218
2014-03-24,134
2014-03-25,232
2014-03-26,169
2014-03-27,132
2014-03-28,147
2014-03-29,201
2014-03-30,160
2014-03-31,121
2014-04-01,175
2014-04-02,157
2014-04-03,123
2014-04-04,133
2014-04-05,132
2014-04-06,147
2014-04-07,150
2014-04-08,141
2014-04-09,110
2014-04-10,179
2014-04-11,142
2014-04-12,179
2014-04-13,108
2014-04-14,155
2014-04-15,119
2014-04-16,121
2014-04-17,155
2014-04-18,163
2014-04-19,90
2014-04-20,520
2014-04-21,302
2014-04-22,118
2014-04-23,119
2014-04-24,114
2014-04-25,205
2014-04-26,56
2014-04-27,236
2014-04-28,177
2014-04-29,230
2014-04-30,490
2014-05-01,189
2014-05-02,290
2014-05-03,197
2014-05-04,200
2014-05-05,245
2014-05-06,231
2014-05-07,39
2014-05-08,184
2014-05-09,224
2014-05-10,525
2014-05-11,302
2014-05-12,160
2014-05-13,221
2014-05-14,120
2014-05-15,122
2014-05-16,185
2014-05-17,45
2014-05-18,320
2014-05-19,214
2014-05-20,41
2014-05-21,250
2014-05-22,96
2014-05-23,554
2014-05-24,322
2014-05-25,126
2014-05-26,127
2014-05-27,121
2014-05-28,218
2014-05-29,60
2014-05-30,251
2014-05-31,189
2014-06-01,245
2014-06-02,522
2014-06-03,201
2014-06-04,309
2014-06-05,210
2014-06-06,213
2014-06-07,261
2014-06-08,246
2014-06-09,42
2014-06-10,196
2014-06-11,239
2014-06-12,559
2014-06-13,322
2014-06-14,171
2014-06-15,236
2014-06-16,128
2014-06-17,130
2014-06-18,197
2014-06-19,48
2014-06-20,341
2014-06-21,228
2014-06-22,44
2014-06-23,266
2014-06-24,313
2014-06-25,144
2014-06-26,325
2014-06-27,289
2014-06-28,334
2014-06-29,153
2014-06-30,346
2014-07-01,308
2014-07-02,218
2014-07-03,202
2014-07-04,205
2014-07-05,474
2014-07-06,650
2014-07-07,230
2014-07-08,69
2014-07-09,322
2014-07-10,765
2014-07-11,51
2014-07-12,513
2014-07-13,164
2014-07-14,265
2014-07-15,302
2014-07-16,187
2014-07-17,245
2014-07-18,180
2014-07-19,197
2014-07-20,454
2014-07-21,623
2014-07-22,224
2014-07-23,61
2014-07-24,363
2014-07-25,675
2014-07-26,52
2014-07-27,576
2014-07-28,160
2014-07-29,198
2014-07-30,290
2014-07-31,320
2014-08-01,195
2014-08-02,221
2014-08-03,510
2014-08-04,699
2014-08-05,250
2014-08-06,66
2014-08-07,306
2014-08-08,657
2014-08-09,747
2014-08-10,148
2014-08-11,210
2014-08-12,302
2014-08-13,232
2014-08-14,215
2014-08-15,218
2014-08-16,505
2014-08-17,693
2014-08-18,245
2014-08-19,74
2014-08-20,343
2014-08-21,815
2014-08-22,54
2014-08-23,547
2014-08-24,175
2014-08-25,282
2014-08-26,322
2014-08-27,199
2014-08-28,261
2014-08-29,192
2014-08-30,210
2014-08-31,484
2014-09-01,664
2014-09-02,239
2014-09-03,65
2014-09-04,387
2014-09-05,719
2014-09-06,55
2014-09-07,614
2014-09-08,171
2014-09-09,211
2014-09-10,309
2014-09-11,341
2014-09-12,208
2014-09-13,236
2014-09-14,543
2014-09-15,745
2014-09-16,266
2014-09-17,70
2014-09-18,326
2014-09-19,700
2014-09-20,796
2014-09-21,158
2014-09-22,224
2014-09-23,322
2014-09-24,265
2014-09-25,298
2014-09-26,182
2014-09-27,478
2014-09-28,120
2014-09-29,302
2014-09-30,367
2014-10-01,187
2014-10-02,598
2014-10-03,322
2014-10-04,322
2014-10-05,302
2014-10-06,265
2014-10-07,205
2014-10-08,218
2014-10-09,205
2014-10-10,23
2014-10-11,202
2014-10-12,177
2014-10-13,230
2014-10-14,99
2014-10-15,174
2014-10-16,598
2014-10-17,298
2014-10-18,109
2014-10-19,478
2014-10-20,567
2014-10-21,56
2014-10-22,198
2014-10-23,278
2014-10-24,189
2014-10-25,423
2014-10-26,290
2014-10-27,412
2014-10-28,123
2014-10-29,532
2014-10-30,363
2014-10-31,363
2014-11-01,290
2014-11-02,198
2014-11-03,197
2014-11-04,189
2014-11-05,245
2014-11-06,200
2014-11-07,23
2014-11-08,180
2014-11-09,39
2014-11-10,184
2014-11-11,224
2014-11-12,132
2014-11-13,164
2014-11-14,532
2014-11-15,278
2014-11-16,423
2014-11-17,545
2014-11-18,210
2014-11-19,312
2014-11-20,168
2014-11-21,501
2014-11-22,302
2014-11-23,534
2014-11-24,133
2014-11-25,576
2014-11-26,306
2014-11-27,306
2014-11-28,302
2014-11-29,210
2014-11-30,221
2014-12-01,320
2014-12-02,185
2014-12-03,24
2014-12-04,195
2014-12-05,153
2014-12-06,250
2014-12-07,123
2014-12-08,176
2014-12-09,576
2014-12-10,312
2014-12-11,501
