date,decaf,sales
2012-10-01,Decaf,245
2012-10-02,Decaf,107
2012-10-05,Decaf,43
2012-10-06,Decaf,111
2012-10-07,Decaf,66
2012-10-08,Decaf,68
2012-10-09,Decaf,99
2012-10-16,Decaf,109
2012-10-17,Decaf,118
2012-10-18,Decaf,120
2012-10-19,Decaf,119
2012-10-23,Decaf,92
2012-10-24,Decaf,123
2012-10-27,Decaf,164
2012-10-28,Decaf,114
2012-11-02,Decaf,81
2012-11-03,Decaf,78
2012-11-04,Decaf,88
2012-11-05,Decaf,120
2012-11-12,Decaf,121
2012-11-13,Decaf,113
2012-11-14,Decaf,109
2012-11-15,Decaf,115
2012-11-18,Decaf,99
2012-11-19,Decaf,133
2012-11-20,Decaf,112
2012-11-21,Decaf,127
2012-11-22,Decaf,145
2012-11-23,Decaf,176
2012-11-24,Decaf,127
2012-11-25,Decaf,101
2012-11-27,Decaf,77
2012-11-28,Decaf,85
2012-11-29,Decaf,82
2012-12-04,Decaf,118
2012-12-05,Decaf,107
2012-12-06,Decaf,160
2012-12-07,Decaf,153
2012-12-08,Decaf,139
2012-12-09,Decaf,160
2012-12-11,Decaf,130
2012-12-12,Decaf,131
2012-12-13,Decaf,114
2012-12-16,Decaf,46
2012-12-17,Decaf,118
2012-12-18,Decaf,70
2012-12-19,Decaf,72
2012-12-20,Decaf,106
2012-12-27,Decaf,116
2012-12-28,Decaf,126
2012-12-29,Decaf,128
2012-12-30,Decaf,127
2013-01-03,Decaf,98
2013-01-04,Decaf,131
2013-01-07,Decaf,175
2013-01-08,Decaf,121
2013-01-13,Decaf,86
2013-01-14,Decaf,83
2013-01-15,Decaf,94
2013-01-16,Decaf,128
2013-01-23,Decaf,129
2013-01-24,Decaf,120
2013-01-25,Decaf,116
2013-01-26,Decaf,123
2013-01-29,Decaf,106
2013-01-30,Decaf,142
2013-01-31,Decaf,119
2013-02-01,Decaf,135
2013-02-02,Decaf,155
2013-02-03,Decaf,188
2013-02-04,Decaf,135
2013-02-05,Decaf,108
2013-02-07,Decaf,82
2013-02-08,Decaf,91
2013-02-09,Decaf,87
2013-02-14,Decaf,126
2013-02-15,Decaf,114
2013-02-16,Decaf,171
2013-02-17,Decaf,163
2013-02-18,Decaf,148
2013-02-19,Decaf,171
2013-02-22,Decaf,174
2013-02-27,Decaf,51
2013-03-01,Decaf,177
2013-03-02,Decaf,142
2013-03-06,Decaf,92
2013-03-07,Decaf,88
2013-03-08,Decaf,124
2013-03-09,Decaf,92
2013-03-14,Decaf,43
2013-03-15,Decaf,122
2013-03-19,Decaf,106
2013-03-20,Decaf,78
2013-03-21,Decaf,150
2013-03-27,Decaf,99
2013-03-28,Decaf,99
2013-04-02,Decaf,43
2013-04-03,Decaf,106
2013-04-04,Decaf,69
2013-04-13,Decaf,185
2013-04-18,Decaf,54
2013-04-20,Decaf,189
2013-04-21,Decaf,151
2013-04-25,Decaf,98
2013-04-26,Decaf,94
2013-04-27,Decaf,132
2013-04-28,Decaf,98
2013-05-03,Decaf,46
2013-05-04,Decaf,130
2013-05-08,Decaf,113
2013-05-09,Decaf,83
2013-05-10,Decaf,160
2013-05-16,Decaf,106
2013-05-17,Decaf,106
2013-05-22,Decaf,46
2013-05-23,Decaf,113
2013-05-24,Decaf,74
2013-06-01,Decaf,90
2013-06-02,Decaf,90
2013-06-03,Decaf,109
2013-06-04,Decaf,113
2013-06-08,Decaf,68
2013-06-14,Decaf,80
2013-06-15,Decaf,121
2013-06-16,Decaf,52
2013-06-17,Decaf,82
2013-06-18,Decaf,64
2013-06-24,Decaf,122
2013-06-25,Decaf,122
2013-07-01,Decaf,73
2013-07-02,Decaf,82
2013-07-03,Decaf,103
2013-07-06,Decaf,56
2013-07-09,Decaf,85
2013-07-10,Decaf,88
2013-07-11,Decaf,69
2013-07-18,Decaf,96
2013-07-19,Decaf,96
2013-07-20,Decaf,116
2013-07-21,Decaf,120
2013-07-25,Decaf,72
2013-07-31,Decaf,85
2013-08-01,Decaf,129
2013-08-02,Decaf,55
2013-08-03,Decaf,87
2013-08-04,Decaf,68
2013-08-10,Decaf,130
2013-08-11,Decaf,130
2013-08-17,Decaf,78
2013-08-18,Decaf,87
2013-08-19,Decaf,110
2013-08-22,Decaf,60
2013-08-25,Decaf,91
2013-08-26,Decaf,94
2013-08-27,Decaf,74
2013-09-03,Decaf,122
2013-09-12,Decaf,126
2013-09-13,Decaf,114
2013-09-14,Decaf,125
2013-09-16,Decaf,125
2013-09-17,Decaf,138
2013-09-18,Decaf,138
2013-09-20,Decaf,124
2013-09-21,Decaf,132
2013-09-25,Decaf,184
2013-09-28,Decaf,112
2013-10-02,Decaf,139
2013-10-03,Decaf,114
2013-10-04,Decaf,123
2013-10-10,Decaf,145
2013-10-11,Decaf,127
2013-10-12,Decaf,122
2013-10-13,Decaf,120
2013-10-15,Decaf,130
2013-10-24,Decaf,134
2013-10-25,Decaf,121
2013-10-26,Decaf,133
2013-10-28,Decaf,133
2013-10-29,Decaf,147
2013-10-30,Decaf,147
2013-11-01,Decaf,132
2013-11-02,Decaf,141
2013-11-06,Decaf,196
2013-11-09,Decaf,119
2013-11-13,Decaf,148
2013-11-14,Decaf,121
2013-11-15,Decaf,131
2013-11-21,Decaf,155
2013-11-22,Decaf,135
2013-11-23,Decaf,130
2013-11-24,Decaf,128
2013-11-26,Decaf,53
2013-11-27,Decaf,66
2013-11-28,Decaf,126
2013-11-29,Decaf,120
