date,regular,sales
2012-10-03,Regular,94
2012-10-04,Regular,182
2012-10-10,Regular,120
2012-10-11,Regular,114
2012-10-12,Regular,109
2012-10-13,Regular,144
2012-10-14,Regular,77
2012-10-15,Regular,120
2012-10-20,Regular,99
2012-10-21,Regular,205
2012-10-22,Regular,218
2012-10-25,Regular,92
2012-10-26,Regular,120
2012-10-29,Regular,124
2012-10-30,Regular,123
2012-10-31,Regular,125
2012-11-01,Regular,88
2012-11-06,Regular,121
2012-11-07,Regular,113
2012-11-08,Regular,109
2012-11-09,Regular,106
2012-11-10,Regular,141
2012-11-11,Regular,121
2012-11-16,Regular,90
2012-11-17,Regular,147
2012-11-26,Regular,133
2012-11-30,Regular,122
2012-12-01,Regular,131
2012-12-02,Regular,118
2012-12-03,Regular,88
2012-12-10,Regular,131
2012-12-14,Regular,100
2012-12-15,Regular,194
2012-12-21,Regular,128
2012-12-22,Regular,121
2012-12-23,Regular,116
2012-12-24,Regular,153
2012-12-25,Regular,82
2012-12-26,Regular,128
2012-12-31,Regular,106
2013-01-01,Regular,218
2013-01-02,Regular,232
2013-01-05,Regular,98
2013-01-06,Regular,128
2013-01-09,Regular,132
2013-01-10,Regular,131
2013-01-11,Regular,133
2013-01-12,Regular,94
2013-01-17,Regular,129
2013-01-18,Regular,120
2013-01-19,Regular,116
2013-01-20,Regular,113
2013-01-21,Regular,150
2013-01-22,Regular,129
2013-01-27,Regular,96
2013-01-28,Regular,157
2013-02-06,Regular,142
2013-02-10,Regular,130
2013-02-11,Regular,140
2013-02-12,Regular,126
2013-02-13,Regular,94
2013-02-20,Regular,140
2013-02-21,Regular,90
2013-02-23,Regular,120
2013-02-24,Regular,118
2013-02-25,Regular,66
2013-02-26,Regular,187
2013-02-28,Regular,58
2013-03-03,Regular,113
2013-03-04,Regular,144
2013-03-05,Regular,159
2013-03-10,Regular,70
2013-03-11,Regular,78
2013-03-12,Regular,80
2013-03-13,Regular,123
2013-03-16,Regular,56
2013-03-17,Regular,106
2013-03-18,Regular,74
2013-03-22,Regular,120
2013-03-23,Regular,120
2013-03-24,Regular,99
2013-03-25,Regular,101
2013-03-26,Regular,99
2013-03-29,Regular,103
2013-03-30,Regular,116
2013-03-31,Regular,82
2013-04-01,Regular,85
2013-04-05,Regular,58
2013-04-06,Regular,107
2013-04-07,Regular,103
2013-04-08,Regular,106
2013-04-09,Regular,82
2013-04-10,Regular,118
2013-04-11,Regular,131
2013-04-12,Regular,96
2013-04-14,Regular,128
2013-04-15,Regular,126
2013-04-16,Regular,70
2013-04-17,Regular,199
2013-04-19,Regular,62
2013-04-22,Regular,120
2013-04-23,Regular,153
2013-04-24,Regular,169
2013-04-29,Regular,75
2013-04-30,Regular,83
2013-05-01,Regular,85
2013-05-02,Regular,131
2013-05-05,Regular,60
2013-05-06,Regular,113
2013-05-07,Regular,79
2013-05-11,Regular,128
2013-05-12,Regular,128
2013-05-13,Regular,106
2013-05-14,Regular,108
